file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,class,3,6,3,3,15,2,1,13,24,0.7083333,0.0,0.0,12,7,11,0,1,0,12,0,0,0,2,2,0,1,1,0,2,0,21,76,8,3,0,0,0,0,327,37,31,23,1,0,0,0,80,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\command\defaults\TellCommand.java,org.bukkit.command.defaults.TellCommand,class,6,7,1,6,9,3,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,31,3,1,1,0,2,13,4,6,3,4,3,0,0,0,31,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\event\painting\PaintingBreakByEntityEvent.java,org.bukkit.event.painting.PaintingBreakByEntityEvent,class,4,4,0,4,2,4,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,1,0,1,0,1,0,0,0,0,26,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\event\entity\EntityTameEvent.java,org.bukkit.event.entity.EntityTameEvent,class,5,5,0,5,7,3,0,0,15,0.7142857,0.0,0.0,7,1,7,0,0,0,7,0,0,0,3,1,0,3,0,0,2,0,0,27,5,0,0,0,0,0,0,3,0,3,0,0,0,0,27,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\TreeSpecies.java,org.bukkit.TreeSpecies,enum,1,7,6,1,5,1,0,4,0,0.33333334,0.0,0.0,3,1,2,1,0,0,3,0,0,0,2,1,0,2,0,0,2,0,1,23,2,1,0,0,0,0,6,2,0,2,1,0,0,0,64,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\event\inventory\FurnaceBurnEvent.java,org.bukkit.event.inventory.FurnaceBurnEvent,class,5,5,0,5,11,3,0,1,33,0.76363635,0.0,0.0,11,1,11,0,0,0,11,0,0,0,5,1,0,5,0,0,2,0,0,44,7,0,0,0,0,0,0,8,0,5,0,0,0,0,46,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\event\server\ServerCommandEvent.java,org.bukkit.event.server.ServerCommandEvent,class,3,4,1,3,6,3,1,0,5,0.6111111,0.0,0.0,6,1,6,0,0,0,6,0,0,0,3,1,0,3,0,0,2,0,0,24,4,0,0,0,0,0,0,4,0,3,0,0,0,0,121,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\material\Diode.java,org.bukkit.material.Diode,class,5,7,2,5,21,2,0,7,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,70,7,0,0,0,6,3,18,9,5,4,1,0,0,0,35,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\Location.java,org.bukkit.Location,class,6,17,11,6,62,1,0,29,3,0.6367521,0.0,0.0,39,1,39,0,0,0,39,0,0,0,6,0,0,6,0,0,0,0,48,226,40,0,20,1,9,13,22,58,31,19,1,0,0,0,178,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\help\HelpTopicFactory.java,org.bukkit.help.HelpTopicFactory,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\material\PressurePlate.java,org.bukkit.material.PressurePlate,class,4,6,2,4,10,2,0,4,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,1,0,1,2,1,0,1,0,0,0,0,0,20,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\material\TrapDoor.java,org.bukkit.material.TrapDoor,class,6,8,2,6,26,3,0,7,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,75,9,0,2,0,8,5,17,10,1,4,1,0,0,0,53,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\block\Sign.java,org.bukkit.block.Sign,interface,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\entity\Blaze.java,org.bukkit.entity.Blaze,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\command\TabExecutor.java,org.bukkit.command.TabExecutor,interface,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\inventory\FurnaceInventory.java,org.bukkit.inventory.FurnaceInventory,interface,3,3,0,3,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\BanList.java,org.bukkit.BanList$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\material\Tripwire.java,org.bukkit.material.Tripwire,class,2,4,2,2,15,2,0,6,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,2,0,5,4,9,4,1,2,1,0,0,0,40,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\event\inventory\InventoryOpenEvent.java,org.bukkit.event.inventory.InventoryOpenEvent,class,5,5,0,5,6,3,0,1,7,0.5833334,0.0,0.0,6,1,6,0,0,0,6,0,1,0,2,1,0,2,0,0,1,0,0,23,4,0,0,0,0,0,0,3,0,2,0,0,0,0,53,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\plugin\PluginAwareness.java,org.bukkit.plugin.PluginAwareness$Flags,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\command\TabCommandExecutor.java,org.bukkit.command.TabCommandExecutor,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\test\java\org\bukkit\conversations\ValidatingPromptTest.java,org.bukkit.conversations.ValidatingPromptTest$TestFixedSetPrompt,innerclass,3,3,0,3,3,2,0,0,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,13,2,0,0,0,0,0,0,1,0,1,0,0,0,0,16,2,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\material\Redstone.java,org.bukkit.material.Redstone,interface,0,8,8,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\material\Step.java,org.bukkit.material.Step,class,4,6,2,4,18,3,0,8,64,0.8333333,0.0,0.0,12,0,10,0,2,0,13,0,0,0,1,1,0,1,0,0,1,0,0,56,5,0,1,0,6,2,6,3,1,2,1,0,0,0,41,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\material\Rails.java,org.bukkit.material.Rails,class,4,7,3,4,44,2,1,8,66,0.0,0.0,0.0,12,0,11,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,88,15,0,8,0,8,4,30,3,1,3,1,0,0,0,75,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\TravelAgent.java,org.bukkit.TravelAgent,interface,2,3,1,2,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\entity\IronGolem.java,org.bukkit.entity.IronGolem,interface,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\event\block\BlockGrowEvent.java,org.bukkit.event.block.BlockGrowEvent,class,5,6,1,5,6,3,1,0,9,0.6666667,0.0,0.0,6,1,6,0,0,0,6,0,0,0,3,1,0,3,0,0,2,0,0,24,4,0,0,0,0,0,0,4,0,3,0,0,0,0,47,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\event\entity\ExplosionPrimeEvent.java,org.bukkit.event.entity.ExplosionPrimeEvent,class,5,5,0,5,10,3,0,2,25,0.725,0.0,0.0,10,1,10,0,0,0,10,0,0,0,4,1,0,4,0,0,1,0,0,39,5,0,0,0,0,0,0,7,0,4,0,0,0,0,45,1,0
