file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,"getNoise/4[double,int,double,double]",false,183,1,1,0,1,1,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,PerlinNoiseGenerator/1[org.bukkit.World],true,48,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,"getNoise/2[double,double]",false,104,1,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,"getNoise/3[double,double,double]",false,117,1,1,0,1,1,1,3,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,PerlinNoiseGenerator/0,true,18,0,0,0,0,2,0,6,0,2,0,0,0,0,1,0,0,0,0,259,3,0,1,0,0,0,4,4,0,false
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,getInstance/0,false,126,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,PerlinNoiseGenerator/1[long],true,57,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,PerlinNoiseGenerator/1[java.util.Random],true,66,0,1,1,0,3,2,15,0,4,1,2,0,0,2,0,0,0,0,10,11,6,1,0,0,0,23,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,"noise/3[double,double,double]",false,131,1,5,1,4,1,4,24,1,15,3,4,0,0,0,0,0,0,0,22,21,25,0,0,0,0,14,1,0,false
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,"getNoise/6[double,double,double,int,double,double]",false,214,1,1,0,1,1,1,3,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\Bukkit-1.7.9\src\main\java\org\bukkit\util\noise\PerlinNoiseGenerator.java,org.bukkit.util.noise.PerlinNoiseGenerator,getNoise/1[double],false,92,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0,true
