file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,class,7,7,0,7,39,1,0,41,286,0.45945945,0.0,0.0,37,0,37,0,0,0,37,0,0,0,1,1,0,1,0,0,1,0,27,501,0,0,0,2,0,54,511,53,0,49,1,0,0,0,155,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\main\java\org\jfree\chart\labels\StandardPieSectionLabelGenerator.java,org.jfree.chart.labels.StandardPieSectionLabelGenerator,class,5,9,4,5,14,2,0,13,33,0.78787875,0.0,0.0,11,0,11,0,0,0,11,0,0,0,3,2,1,2,0,0,2,0,6,52,8,0,1,0,1,1,1,6,0,5,1,0,0,0,149,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\main\java\org\jfree\chart\renderer\xy\VectorRenderer.java,org.jfree.chart.renderer.xy.VectorRenderer,class,16,18,2,16,30,3,0,31,13,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,11,176,10,8,7,0,9,2,25,74,29,54,4,0,0,0,161,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\main\java\org\jfree\chart\axis\CategoryTick.java,org.jfree.chart.axis.CategoryTick,class,5,7,2,5,13,2,0,5,0,0.42857143,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,3,0,6,52,12,0,1,0,2,1,3,8,6,5,1,0,0,0,64,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\chart\labels\StandardXYSeriesLabelGeneratorTest.java,org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest,class,5,5,0,5,6,1,0,11,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,12,2,13,0,11,0,0,0,0,48,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\chart\plot\flow\FlowPlotTest.java,org.jfree.chart.plot.flow.FlowPlotTest,class,7,8,1,7,15,1,0,23,0,0.26666668,0.0,0.0,15,0,14,1,0,0,14,0,0,0,1,0,0,1,0,0,0,0,2,153,0,0,0,0,0,6,21,30,0,19,0,0,0,0,71,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\main\java\org\jfree\chart\MouseWheelHandler.java,org.jfree.chart.MouseWheelHandler,class,8,10,2,8,12,1,0,18,0,0.3,0.0,0.0,5,0,4,1,0,0,4,0,0,0,2,0,0,1,0,1,0,0,0,53,3,0,1,0,0,0,4,15,2,13,1,0,0,0,65,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\main\java\org\jfree\chart\renderer\xy\DeviationRenderer.java,org.jfree.chart.renderer.xy.DeviationRenderer$State,innerclass,2,2,0,2,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,39,9,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\main\java\org\jfree\chart\labels\BubbleXYItemLabelGenerator.java,org.jfree.chart.labels.BubbleXYItemLabelGenerator,class,7,9,2,7,19,2,0,20,7,0.70000005,0.0,0.0,10,0,9,0,1,0,10,0,0,0,4,2,1,2,0,1,2,0,8,93,12,0,4,0,1,3,9,24,0,14,1,0,0,0,116,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\main\java\org\jfree\data\resources\DataPackageResources.java,org.jfree.data.resources.DataPackageResources,class,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,4,0,1,0,1,0,0,0,0,34,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\main\java\org\jfree\data\time\Minute.java,org.jfree.data.time.Minute,class,5,13,8,5,39,2,0,32,0,0.72727275,0.0,0.0,22,1,22,0,0,0,22,0,0,0,8,3,2,6,0,0,6,0,16,187,19,0,10,0,5,6,31,54,18,34,3,0,0,0,180,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\function\PolynomialFunction2DTest.java,org.jfree.data.function.PolynomialFunction2DTest,class,4,4,0,4,7,1,0,8,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,1,0,0,29,16,0,11,1,0,0,0,60,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\main\java\org\jfree\data\general\ValueDataset.java,org.jfree.data.general.ValueDataset,interface,2,3,1,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\main\java\org\jfree\chart\plot\dial\StandardDialRange.java,org.jfree.chart.plot.dial.StandardDialRange,class,8,9,1,8,34,2,0,17,67,0.73376614,0.0,0.0,22,0,20,2,0,0,20,0,0,0,7,1,0,6,0,1,1,0,7,149,18,0,7,0,9,6,17,34,17,17,1,0,0,0,161,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\chart\HashUtilsTest.java,org.jfree.chart.HashUtilsTest,class,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,6,0,6,0,0,0,0,23,1,0
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\chart\renderer\xy\ClusteredXYBarRendererTest.java,org.jfree.chart.renderer.xy.ClusteredXYBarRendererTest,class,10,11,1,10,7,1,0,15,19,0.71428573,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,1,0,1,0,0,1,0,1,73,1,0,0,0,0,2,46,36,0,30,0,0,0,0,99,1,0
