repo,target_class,target_method,matched_method_full,target_overload,run,match_status,wmc_delta,maxNestedBlocksQty_delta,loc_delta,parametersQty_delta,variablesQty_delta,loopQty_delta
bukkit,org.bukkit.plugin.messaging.StandardMessenger,getIncomingChannelRegistrations,getIncomingChannelRegistrations/1[org.bukkit.plugin.Plugin],overload1,p2_run1,ok,0,0,0,0,0,0
bukkit,org.bukkit.plugin.messaging.StandardMessenger,getIncomingChannelRegistrations,getIncomingChannelRegistrations/1[java.lang.String],overload2,p2_run1,ok,0,0,0,0,0,0
bukkit,org.bukkit.plugin.messaging.StandardMessenger,getIncomingChannelRegistrations,"getIncomingChannelRegistrations/2[org.bukkit.plugin.Plugin,java.lang.String]",overload3,p2_run1,ok,0,0,0,0,0,0
bukkit,org.bukkit.plugin.messaging.StandardMessenger,removeFromOutgoing,"removeFromOutgoing/2[org.bukkit.plugin.Plugin,java.lang.String]",overload1,p2_run1,ok,0,0,0,0,0,0
bukkit,org.bukkit.plugin.messaging.StandardMessenger,removeFromOutgoing,removeFromOutgoing/1[org.bukkit.plugin.Plugin],overload2,p2_run1,ok,0,0,0,0,0,0
bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,equals,equals/1[java.lang.Object],overload1,p2_run2,ok,-6,0,0,0,0,0
bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,hashCode,hashCode/0,overload1,p2_run2,ok,-4,0,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getDouble,getDouble/1[java.lang.String],overload1,p2_run3,ok,0,0,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getDouble,"getDouble/2[java.lang.String,double]",overload2,p2_run3,ok,0,0,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getInt,getInt/1[java.lang.String],overload1,p2_run3,ok,0,0,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getInt,"getInt/2[java.lang.String,int]",overload2,p2_run3,ok,0,0,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getLong,getLong/1[java.lang.String],overload1,p2_run3,ok,0,0,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getLong,"getLong/2[java.lang.String,long]",overload2,p2_run3,ok,0,0,0,0,0,0
bukkit,org.bukkit.command.SimpleCommandMap,SimpleCommandMap,SimpleCommandMap/1[org.bukkit.command.Server],overload1,p2_run4,ok,0,0,0,0,0,0
bukkit,org.bukkit.command.SimpleCommandMap,register,"register/2[java.lang.String,org.bukkit.command.Command]",overload1,p2_run4,ok,0,0,0,0,0,0
bukkit,org.bukkit.command.SimpleCommandMap,register,"register/4[java.lang.String,org.bukkit.command.Command,boolean,java.lang.String]",overload2,p2_run4,ok,0,0,0,0,0,0
bukkit,org.bukkit.command.SimpleCommandMap,register,"register/3[java.lang.String,java.lang.String,org.bukkit.command.Command]",overload3,p2_run4,ok,0,0,0,0,0,0
bukkit,org.bukkit.command.Command,allowChangesFrom,allowChangesFrom/1[org.bukkit.command.CommandMap],overload1,p2_run5,ok,0,0,0,0,0,0
bukkit,org.bukkit.command.Command,isRegistered,isRegistered/0,overload1,p2_run5,ok,0,0,0,0,0,0
bukkit,org.bukkit.command.Command,register,register/1[org.bukkit.command.CommandMap],overload1,p2_run5,ok,0,0,0,0,0,0
bukkit,org.bukkit.command.Command,setAliases,setAliases/1[java.util.List<java.lang.String>],overload1,p2_run5,ok,0,0,0,0,0,0
bukkit,org.bukkit.command.Command,setLabel,setLabel/1[java.lang.String],overload1,p2_run5,ok,0,0,0,0,0,0
bukkit,org.bukkit.configuration.file.FileConfiguration,load,load/1[java.lang.String],overload1,p2_run6,ok,0,0,0,0,0,0
bukkit,org.bukkit.configuration.file.FileConfiguration,load,load/1[java.io.InputStream],overload2,p2_run6,ok,0,0,0,0,0,0
bukkit,org.bukkit.configuration.file.FileConfiguration,load,load/1[java.io.File],overload3,p2_run6,ok,-2,0,1,0,1,0
bukkit,org.bukkit.configuration.file.FileConfiguration,load,load/1[java.io.Reader],overload4,p2_run6,ok,0,0,0,0,0,0
bukkit,org.bukkit.configuration.file.FileConfiguration,save,save/1[java.lang.String],overload1,p2_run6,ok,0,0,0,0,0,0
bukkit,org.bukkit.configuration.file.FileConfiguration,save,save/1[java.io.File],overload2,p2_run6,ok,-2,0,1,0,1,0
