repo,target_class,target_method,matched_method_full,target_overload,run,match_status,wmc_before,wmc_after,wmc_delta,maxNestedBlocksQty_before,maxNestedBlocksQty_after,maxNestedBlocksQty_delta,loc_before,loc_after,loc_delta,parametersQty_before,parametersQty_after,parametersQty_delta,variablesQty_before,variablesQty_after,variablesQty_delta,loopQty_before,loopQty_after,loopQty_delta
bukkit,org.bukkit.plugin.messaging.StandardMessenger,getIncomingChannelRegistrations,getIncomingChannelRegistrations/1[org.bukkit.plugin.Plugin],overload1,p2_run1,ok,3,3,0,2,2,0,14,14,0,1,1,0,1,1,0,0,0,0
bukkit,org.bukkit.plugin.messaging.StandardMessenger,getIncomingChannelRegistrations,getIncomingChannelRegistrations/1[java.lang.String],overload2,p2_run1,ok,2,2,0,2,2,0,12,12,0,1,1,0,1,1,0,0,0,0
bukkit,org.bukkit.plugin.messaging.StandardMessenger,getIncomingChannelRegistrations,"getIncomingChannelRegistrations/2[org.bukkit.plugin.Plugin,java.lang.String]",overload3,p2_run1,ok,5,5,0,4,4,0,21,21,0,2,2,0,2,2,0,1,1,0
bukkit,org.bukkit.plugin.messaging.StandardMessenger,removeFromOutgoing,"removeFromOutgoing/2[org.bukkit.plugin.Plugin,java.lang.String]",overload1,p2_run1,ok,5,5,0,3,3,0,18,18,0,2,2,0,2,2,0,0,0,0
bukkit,org.bukkit.plugin.messaging.StandardMessenger,removeFromOutgoing,removeFromOutgoing/1[org.bukkit.plugin.Plugin],overload2,p2_run1,ok,3,3,0,3,3,0,12,12,0,1,1,0,2,2,0,1,1,0
bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,equals,equals/1[java.lang.Object],overload1,p2_run2,ok,13,7,-6,1,1,0,22,22,0,1,1,0,1,1,0,0,0,0
bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,hashCode,hashCode/0,overload1,p2_run2,ok,5,1,-4,0,0,0,8,8,0,0,0,0,1,1,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getDouble,getDouble/1[java.lang.String],overload1,p2_run3,ok,2,2,0,0,0,0,4,4,0,1,1,0,1,1,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getDouble,"getDouble/2[java.lang.String,double]",overload2,p2_run3,ok,2,2,0,0,0,0,4,4,0,2,2,0,1,1,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getInt,getInt/1[java.lang.String],overload1,p2_run3,ok,2,2,0,0,0,0,4,4,0,1,1,0,1,1,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getInt,"getInt/2[java.lang.String,int]",overload2,p2_run3,ok,2,2,0,0,0,0,4,4,0,2,2,0,1,1,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getLong,getLong/1[java.lang.String],overload1,p2_run3,ok,2,2,0,0,0,0,4,4,0,1,1,0,1,1,0,0,0,0
bukkit,org.bukkit.configuration.MemorySection,getLong,"getLong/2[java.lang.String,long]",overload2,p2_run3,ok,2,2,0,0,0,0,4,4,0,2,2,0,1,1,0,0,0,0
bukkit,org.bukkit.command.SimpleCommandMap,SimpleCommandMap,SimpleCommandMap/1[org.bukkit.command.Server],overload1,p2_run4,ok,1,1,0,0,0,0,4,4,0,1,1,0,0,0,0,0,0,0
bukkit,org.bukkit.command.SimpleCommandMap,register,"register/2[java.lang.String,org.bukkit.command.Command]",overload1,p2_run4,ok,1,1,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0
bukkit,org.bukkit.command.SimpleCommandMap,register,"register/4[java.lang.String,org.bukkit.command.Command,boolean,java.lang.String]",overload2,p2_run4,ok,7,7,0,1,1,0,16,16,0,4,4,0,2,2,0,0,0,0
bukkit,org.bukkit.command.SimpleCommandMap,register,"register/3[java.lang.String,java.lang.String,org.bukkit.command.Command]",overload3,p2_run4,ok,4,4,0,2,2,0,16,16,0,3,3,0,2,2,0,1,1,0
bukkit,org.bukkit.command.Command,allowChangesFrom,allowChangesFrom/1[org.bukkit.command.CommandMap],overload1,p2_run5,ok,3,3,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0
bukkit,org.bukkit.command.Command,isRegistered,isRegistered/0,overload1,p2_run5,ok,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
bukkit,org.bukkit.command.Command,register,register/1[org.bukkit.command.CommandMap],overload1,p2_run5,ok,2,2,0,1,1,0,7,7,0,1,1,0,0,0,0,0,0,0
bukkit,org.bukkit.command.Command,setAliases,setAliases/1[java.util.List<java.lang.String>],overload1,p2_run5,ok,2,2,0,1,1,0,7,7,0,1,1,0,0,0,0,0,0,0
bukkit,org.bukkit.command.Command,setLabel,setLabel/1[java.lang.String],overload1,p2_run5,ok,2,2,0,1,1,0,8,8,0,1,1,0,0,0,0,0,0,0
bukkit,org.bukkit.configuration.file.FileConfiguration,load,load/1[java.lang.String],overload1,p2_run6,ok,1,1,0,0,0,0,4,4,0,1,1,0,0,0,0,0,0,0
bukkit,org.bukkit.configuration.file.FileConfiguration,load,load/1[java.io.InputStream],overload2,p2_run6,ok,2,2,0,0,0,0,4,4,0,1,1,0,0,0,0,0,0,0
bukkit,org.bukkit.configuration.file.FileConfiguration,load,load/1[java.io.File],overload3,p2_run6,ok,3,1,-2,0,0,0,5,6,1,1,1,0,1,2,1,0,0,0
bukkit,org.bukkit.configuration.file.FileConfiguration,load,load/1[java.io.Reader],overload4,p2_run6,ok,3,3,0,2,2,0,15,15,0,1,1,0,3,3,0,1,1,0
bukkit,org.bukkit.configuration.file.FileConfiguration,save,save/1[java.lang.String],overload1,p2_run6,ok,1,1,0,0,0,0,4,4,0,1,1,0,0,0,0,0,0,0
bukkit,org.bukkit.configuration.file.FileConfiguration,save,save/1[java.io.File],overload2,p2_run6,ok,3,1,-2,1,1,0,12,13,1,1,1,0,2,3,1,0,0,0
