ID,repo,class,line,Mutator,Status after refactoring,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,2931,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,2934,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,2937,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,2938,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,2941,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,2942,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,2960,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,2964,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,2979,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,2997,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,3045,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,3049,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,3052,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,3055,Void method Calls,Survived,,,,,,,,,,
1,jfreechart,org.jfree.chart.plot.XYPlot,3070,Void method Calls,Survived,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3296,Void method Calls,Survived,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3297,Void method Calls,Survived,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3315,Void method Calls,Survived,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3408,Void method Calls,Survived,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3409,Void method Calls,Survived,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3410,Negate Conditionals,Survived,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3420,Negate Conditionals,Survived,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3430,Void method Calls,Survived,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3431,Negate Conditionals,Survived,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3290,Void method Calls,Killed,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3291,Void method Calls,Killed,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3313,Void method Calls,Killed,,,,,,,,,,
2,jfreechart,org.jfree.chart.plot.CategoryPlot,3314,Void method Calls,Killed,,,,,,,,,,
3,jfreechart,org.jfree.chart.plot.PiePlot,2236,Void method Calls,Killed,,,,,,,,,,
3,jfreechart,org.jfree.chart.plot.PiePlot,2255,Void method Calls,Killed,,,,,,,,2,jfreechart,org.jfree.chart.plot.CategoryPlot
3,jfreechart,org.jfree.chart.plot.PiePlot,2256,Void method Calls,Killed,,,,,,,,3,jfreechart,org.jfree.chart.plot.PiePlot
3,jfreechart,org.jfree.chart.plot.PiePlot,2257,Void method Calls,Killed,,,,,,,,4,jfreechart,org.jfree.chart.plot.MeterPlot
3,jfreechart,org.jfree.chart.plot.PiePlot,2258,Void method Calls,Killed,,,,,,,,5,jfreechart,org.jfree.chart.plot.PiePlot3D
3,jfreechart,org.jfree.chart.plot.PiePlot,2259,Void method Calls,Killed,,,,,,,,6,jfreechart,org.jfree.chart.axis.CategoryAxis
4,jfreechart,org.jfree.chart.plot.MeterPlot,1070,Math,Killed,,,,,,,,7,bukkit,org.bukkit.plugin.messaging.StandardMessenger
4,jfreechart,org.jfree.chart.plot.MeterPlot,1070,Math,Killed,,,,,,,,7,bukkit,org.bukkit.plugin.messaging.StandardMessenger
4,jfreechart,org.jfree.chart.plot.MeterPlot,1071,Math,Killed,,,,,,,,7,bukkit,org.bukkit.plugin.messaging.StandardMessenger
4,jfreechart,org.jfree.chart.plot.MeterPlot,1073,Math,Killed,,,,,,,,8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration
4,jfreechart,org.jfree.chart.plot.MeterPlot,1073,Math,Killed,,,,,,,,9,bukkit,org.bukkit.configuration.MemorySection
4,jfreechart,org.jfree.chart.plot.MeterPlot,1074,Math,Killed,,,,,,,,10,bukkit,org.bukkit.command.SimpleCommandMap
4,jfreechart,org.jfree.chart.plot.MeterPlot,1074,Math,Killed,,,,,,,,10,bukkit,org.bukkit.command.SimpleCommandMap
4,jfreechart,org.jfree.chart.plot.MeterPlot,1075,Math,Killed,,,,,,,,11,bukkit,org.bukkit.command.Command
4,jfreechart,org.jfree.chart.plot.MeterPlot,1075,Math,Killed,,,,,,,,12,bukkit,org.bukkit.configuration.file.FileConfiguration
4,jfreechart,org.jfree.chart.plot.MeterPlot,1076,Math,Killed,,,,,,,,,,
4,jfreechart,org.jfree.chart.plot.MeterPlot,1076,Math,Killed,,,,,,,,,,
4,jfreechart,org.jfree.chart.plot.MeterPlot,1078,Math,Killed,,,,,,,,,,
4,jfreechart,org.jfree.chart.plot.MeterPlot,1078,Math,Killed,,,,,,,,,,
4,jfreechart,org.jfree.chart.plot.MeterPlot,1079,Math,Killed,,,,,,,,,,
